English;German
giant;Riesen-, riesig
redwood (tree);Mammutbaum
relaxed;entspannt, locker, gelassen
lifestyle;Lebensart, Lifestyle
surfing;Wellenreiten, Surfen
cable car;Seilbahn
hill;Berg, Hügel
Asia;Asien
nickname;Spitzname
golden;golden, Gold-
high-tech;Hightech-
to settle;besiedeln, sich niederlassen
to develop;entwickeln
studio;Studio
safety net;Sicherheitsnetz
foggy;neblig
huge;riesig, riesengroß, gewaltig
architect;Architekt, Architektin
to paint;streichen, anmalen, malen
catchy;eingängig, einprägsam
informative;informativ
clear;klar, eindeutig, deutlich
appealing;ansprechend
unappealing;uninteressant
fascinating;faszinierend
spectacular;spektakulär
pointless;sinnlos
unusual;ungewöhnlich, außergewöhnlich
dull;langweilig
to chill out;chillen, sich entspannen
reservation;Reservierung
to book;buchen, reservieren
lifetime;Leben, Lebenszeit
tour;Tour, Fahrt, Reise
layout;Layout, Anordnung
design;Design, Gestaltung
headline;Überschrift, Schlagzeile
slogan;Slogan, Werbespruch
message;Botschaft
expert;Experte, Expertin
climbing;Kletter-
swimmer;Schwimmer, Schwimmerin
helicopter;Helikopter, Hubschrauber
pilot;Pilot, Pilotin
social media;soziale Medien
account;Konto
to post;online stellen, posten
tutorial;Anleitung, Tutorial
clip;Clip, Ausschnitt, Kurzfilm
smartphone;Smartphone
tablet;Tablet
cyberbullying;Cyber-Mobbing
to dislike;nicht mögen
request;Anfrage
to friend;befreunden (jmdn. zu seiner Freundesliste hinzufügen)
to unfriend;entfreunden (jmdn. von seiner Freundesliste streichen)
follower;Follower, Followerin, Anhänger, Anhängerin
to subscribe;abonnieren
trending;trendsetzend
to update;updaten, auf den neuesten Stand bringen
status;Status
selfie;Selfie (Schnappschuss von sich selbst)
to welcome;willkommen heißen
to be around;geben, existieren
for;seit
site;hier: Seite (im Internet)
since;seit, seitdem
extremely;äußerst, sehr
impact;Einfluss, Auswirkung
favorite (AE);Lieblings-
to influence;beeinflussen
to communicate;kommunizieren, sich verständigen
instead;stattdessen, anstelle von
half (sg), halves (pl);(die) Hälfte
right away;sofort, gleich
jumping fitness;Jumping Fitness (Trendsportart)
out of fashion;altmodisch, nicht mehr aktuell
outdated;veraltet
trendy;trendy, modisch
orange juice;Orangensaft
comment;Kommentar
trend;Trend, Entwicklung, Richtung
torn;zerrissen, aufgerissen
veganism (no pl);Veganismus
gold rush;Goldrausch
report;Bericht
to confirm;bestätigen, bekräftigen
discovery;Entdeckung
Swiss;schweizerisch, aus der Schweiz, Schweizer, Schweizerin
businessman;Geschäftsmann
to give up;aufgeben
farming;Landwirtschaft, Ackerbau
landowner;Grundbesitzer, Grundbesitzerin
to allow;erlauben, gestatten
to prove;beweisen
fever;Fieber
to increase;zunehmen, vergrößern
edition;Ausgabe, Auflage, Edition
hunter;Jäger, Jägerin
bay;Bucht
wagon;Waggon, Planwagen
to keep going;weitergehen, weitermachen
encyclopedia;Enzyklopädie, Lexikon
entry;Eintrag
to cause;verursachen
excitement;Aufregung
transcontinental;transkontinental (über den Kontinent hinweg)
railway;Eisenbahn
slave;Sklave, Sklavin
helper;Helfer, Helferin
as soon as;sobald
regular;regelmäßig, normal, üblich, gleichmäßig
to respect;respektieren
to care (for);sich kümmern (um)
energetic;tatkräftig
practical;praktisch
attitude;Einstellung, Haltung
waitress;Kellnerin, Bedienung
groceries (pl);Lebensmittel
entertainment (no pl);Unterhaltung
to introduce;hier: zeigen
creative;kreativ
Japan;Japan
home-packed;zu Hause gemacht
bamboo;Bambus
podcast;Podcast
Thanks so much.;Vielen Dank., Herzlichen Dank.
to interrupt;unterbrechen
